questions,answers,link
What are the hours for Starbucks West Mall?,"Starbucks West Mall is open Monday to Thursday from 7:30am to 6:00pm, Friday from 7:30am to 7:00pm, and weekends from 8:00am to 6:00pm.",https://www.sfu.ca/food/wheretoeat/campus-food/starbucks-west-mall.html
What makes Starbucks West Mall special?,It was Canada’s first Fair Trade Starbucks location and serves handcrafted Fair Trade espresso and Italian Roast coffee.,https://www.sfu.ca/food/wheretoeat/campus-food/starbucks-west-mall.html
Where is Renaissance Café located at SFU?,Renaissance Café is located on the 3000 level of the Academic Quadrangle (AQ) building at SFU.,https://www.sfu.ca/food/wheretoeat/campus-food/renaissance-coffee-aq.html
What are the hours for Renaissance Café?,"Renaissance Café is open Monday to Thursday from 6:00am to 7:00pm, Friday until 6:30pm, and on April 12 from 7:00am to 7:00pm, April 13 from 7:00am to 3:30pm.",https://www.sfu.ca/food/wheretoeat/campus-food/renaissance-coffee-aq.html
What does Renaissance Café offer?,"Renaissance Café offers Fair Trade espresso beverages, brewed coffee, wholesome meals, and desserts. It's been serving the SFU community for over 20 years.",https://www.sfu.ca/food/wheretoeat/campus-food/renaissance-coffee-aq.html
Where is Mackenzie Café located?,Mackenzie Café is located in AQ 3176 on the Burnaby campus of SFU.,https://www.sfu.ca/food/wheretoeat/campus-food/mackenzie-cafe.html
What are the hours for Mackenzie Café?,Mackenzie Café is open Monday to Friday from 8:30am to 2:00pm and closed on weekends and holidays.,https://www.sfu.ca/food/wheretoeat/campus-food/mackenzie-cafe.html
What does Mackenzie Café offer?,"Mackenzie Café features all-day breakfast, global cuisine, a handcrafted deli, and Fair Trade items like Ethical Bean Coffee, tea, avocados, and more.",https://www.sfu.ca/food/wheretoeat/campus-food/mackenzie-cafe.html
Where is Tim Hortons located at SFU?,"Tim Hortons is located on the 2000 level of the West Mall Centre (WMC), near Athletics and the Transportation Centre.",https://www.sfu.ca/food/wheretoeat/campus-food/tim-hortons.html
What are the hours for Renaissance Café?,"Renaissance Café is open Monday to Thursday from 6:00am to 7:00pm, Friday until 6:30pm, and on April 12 from 7:00am to 7:00pm, April 13 from 7:00am to 3:30pm.",https://www.sfu.ca/food/wheretoeat/campus-food/renaissance-coffee-aq.html
What does Renaissance Café offer?,"Renaissance Café offers Fair Trade espresso beverages, brewed coffee, wholesome meals, and desserts. It's been serving the SFU community for over 20 years.",https://www.sfu.ca/food/wheretoeat/campus-food/renaissance-coffee-aq.html
Where is Mackenzie Café located?,Mackenzie Café is located in AQ 3176 on the Burnaby campus of SFU.,https://www.sfu.ca/food/wheretoeat/campus-food/mackenzie-cafe.html
What are the hours for Mackenzie Café?,Mackenzie Café is open Monday to Friday from 8:30am to 2:00pm and closed on weekends and holidays.,https://www.sfu.ca/food/wheretoeat/campus-food/mackenzie-cafe.html
What does Mackenzie Café offer?,"Mackenzie Café features all-day breakfast, global cuisine, a handcrafted deli, and Fair Trade items like Ethical Bean Coffee, tea, avocados, and more.",https://www.sfu.ca/food/wheretoeat/campus-food/mackenzie-cafe.html
Where is Tim Hortons located at SFU?,"Tim Hortons is located on the 2000 level of the West Mall Centre (WMC), near Athletics and the Transportation Centre.",https://www.sfu.ca/food/wheretoeat/campus-food/tim-hortons.html
