Theme,Source,Content
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"Professional certification from a B.C. regulatory authority
Some jobs in B.C. are regulated. This means people need special education and training to do these jobs, and they need to prove that they have the required skills and training. This is called certification."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"Different types of credential assessments
There are different types of credential assessment depending on what the assessment will be used for. Two common reasons that newcomers are asked to complete a credential assessment are:
Immigration - most individuals immigrating to Canada for work (economic immigration) need to have an educational credential assessment (ECA). An ECA is used to verify that a foreign degree, diploma, or certificate (or other proof of your credential) is valid and equal to a Canadian one.
Professional certification – credential assessments for professional certification often look at more than education. It may also be necessary to provide information about work experience, licenses or other official certifications from outside of Canada. In addition, it may be necessary to pass some tests related to the job.
It is very important to understand what type of assessment it is. A credential assessment that was completed for immigration purposes usually cannot be used for professional certification."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"Back 
How to get help finding a job
The Career Paths for Skilled Immigrants program helps immigrants find skilled jobs in B.C. that use the education and experience you bring to Canada. Career Paths can help you get jobs that match your experience and background."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,You can also connect with your local WorkBC Centre to get help with your job search. WorkBC Centre staff help people find and apply for jobs. They have free resources you can use to find work.
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c ****,"Some jobs in B.C. are regulated. This means people need special education and training to do these jobs, and they need to prove that they have the required skills and training. This is called certification."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c ****,"International credential recognition is separate from the education credential assessment (ECA) you may have completed as part of the immigration process with Immigration, Refugees and Citizenship Canada (IRCC). Some people who were educated outside of Canada may need to complete more training before they can be certified and work in regulated jobs in Canada."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c ****,"To work in a non-regulated job, only the employer needs to review your qualifications. They may check your education, and credentials, and your work experience."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/getting-certified-to-work-in-b-c ****,"What if I can’t get certified in B.C.?
The Career Paths program may be able to help you with getting certified or finding other employment related to your education and experience."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/working-in-b-c ****,"Permanent residents, including refugees
Temporary residents, including refugee claimants, temporary foreign workers, and post-secondary international students
Back"
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/working-in-b-c ****,"Children and work
Canadian law says children under 15 years old cannot work during school hours. Children under 12 years old are usually not allowed to work. For more information about hiring young people, visit the Employment Standards Branch website."
International Students Resources,*** Source: https://www.welcomebc.ca/work-in-b-c/working-in-b-c ****,"Family Responsibility Leave
Some workers have to take time off work to care for a sick family member. They may need to attend their child’s school activity. This is called family responsibility leave. Employers must give workers up to 5 days’ general family responsibility leave every year. The law does not require employers to pay employees during family responsibility leave."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html ****,You can work as an international student in Canada if your study permit lists a condition that says you’re allowed to work on- or off-campus.
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html ****,"You can work on your school campus, without a work permit, if you"
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html ****,"are a full-time post-secondary student at a
public post-secondary school, such as a college, university, trade or technical school, or CEGEP in Quebec
private post-secondary school in Quebec that operates under the same rules as public schools in Quebec
private or public secondary or post-secondary institution in Quebec offering qualifying programs of 900 hours or longer leading to a diploma of vocational studies (DVS) or an attestation of vocational specialization (AVS)
Canadian private school that can legally award degrees under provincial law (for example, associate degree, bachelor’s degree, master’s degree or doctorate), but only if the student is enrolled in a study program leading to a degree authorized by the province
This may not include all programs of study offered by the private institution.
have a valid study permit or maintained status
have printed conditions on your initial study permit allowing you to work on campus and
have a social insurance number (SIN)
Students with a part-time course load in their final semester
If you were a full-time student in every semester of your program, but you’re studying part-time in your final semester to finish your required coursework, you can still work an unlimited number of hours on campus."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html ****,"on the day you stop studying full-time, unless you’re in your final semester and you meet other requirements
when your study permit expires
if you’re on an authorized leave from your studies
if you’re switching schools and aren’t currently studying
You can return to work only once you’re back to studying and you meet all the requirements to work on-campus."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html ****,"Where you can work
“On-campus” means you can work at all the buildings on your school campus. If your school has more than one campus, you may only work at the campus where you’re studying in most cases."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html ****,"you’re working as a teaching or research assistant and
your work is strictly related to a research grant
In this case, you may work at a library, hospital or research facility associated with your school, even if they’re outside the campus. If you work at a hospital or other place where the protection of public health is important, you’ll need to have a medical exam, unless you’ve already had one."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-on-campus.html ****,"the school
a faculty member
a student organization
yourself, if:
you run a business that is physically located on-campus (for example: you own a coffee shop that is located on campus)
a private business
a private contractor that provides on-campus services to the school
Apply for a social insurance number to work in Canada
A social insurance number (SIN) is a 9-digit number that the Government of Canada gives you. With this number, you can work in Canada and get government benefits and services."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"Changes to off-campus work hours
As of November 8, 2024, students are allowed to work off campus up to 24 hours per week without a work permit. Make sure you meet the other requirements for working while you study."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"You're a full-time student at a designated learning institution (DLI)
You're enrolled in either of the following
a post-secondary academic, vocational or professional training program or
a secondary-level vocational training program (Quebec only)
Your study program
is at least 6 months long and
leads to a degree, diploma or certificate
You've started studying
You have a social insurance number (SIN)
If you're a part-time student at a DLI
You can work off campus only if:"
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"you meet all of the requirements above, except the requirement to be a full-time student,
and
you're only studying part-time, instead of full-time, because:
you're in the last semester of your study program and you don't need a full course load to complete your program and
you were a full-time student in your program in Canada, up until your last semester
If you're on an authorized leave
If you're on an authorized leave from your studies, or you're switching schools and you're not studying, you can't work off campus. You can only return to work once you're back to studying."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"How many hours you can work off campus
During regular school terms or semesters
You can work up to 24 hours per week. You can work more than 1 job to make up these hours as long as you continue to meet the conditions of your study permit."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"During scheduled breaks in the school year
If you're working during a break scheduled by your DLI, such as summer and winter holidays, or a reading week, you can"
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"work unlimited hours off campus
take courses on a part-time or full-time basis
This does not affect your ability to work unlimited hours during your break.
You must be a full-time student both before and after the break to work unlimited hours during the break. For example, you can't work before you start your very first school semester."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"Working more than 24 hours per week is a violation of your study permit conditions. You can lose your student status for doing this, and may not be approved for a study or work permit in the future. You may also have to leave the country."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"keeping track of the hours that you work off campus and
Hours are defined as any time you spend earning wages or collecting a commission, even if you’re on call during these hours and not actually working.
proving that you’re complying with the conditions of your study permit
To do this, you must show that you’re
actively pursuing your studies
not working more than 24 hours per week
meeting any other conditions listed on your study permit
Self-employed students
If you’re a self-employed person, you’re also responsible for keeping track of the hours you work off campus and proving that you’re complying with the conditions of your study permit."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"When you apply online, your personalized checklist will include the Application to Change Conditions, Extend my Stay or Remain in Canada as a Student [IMM 5709]. On that form, check the box to Apply for a study permit for the first time or extend my study permit and fill out the rest of the required fields."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html ****,"You were already able to work off campus during your previous studies
You have a valid study permit or you applied to extend your study permit before it expired
You received written confirmation from your current school that you completed your program
You received a letter of acceptance to a new full-time study program at a DLI
You’ll start your new program within 150 calendar days of receiving the confirmation that you completed your previous program
Working outside Canada
You can work remotely for an employer outside Canada as long as you still meet the conditions of your study permit. This type of work doesn’t count towards your 24 hours per week off-campus work limit."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html ****,"You have a valid study permit.
You are required to work in order to complete your study program in Canada.
You have a letter from your school that confirms all students in your program need to complete work placements to get their degree.
Your co-op placement or internship totals 50% or less of your study program.
Who's not eligible
You aren’t eligible for a co-op work permit if you’re taking one of the following:"
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav ****,"on the date you get the first notification from your school (such as an email, letter, transcript, etc.) that you completed your program or
when you get your degree, diploma or certificate.
If you can’t prove the date you were first notified by your school, we’ll use the earliest issue date on the document. We may confirm this date with your school."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav ****,"If your school is no longer on the designated learning institution (DLI) list
You can either"
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav ****,"keep studying until your current permit expires or
transfer to another DLI
If you want to extend your study permit, you’ll need to enroll at a school with DLI status."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav ****,"you have a valid study permit or a letter of introduction that shows you were approved for a study permit and
you have a valid travel document
If you deferred your enrolment
If you’ve deferred your enrolment and the DLI that issued your letter of acceptance is de-designated before you start studying, you can’t start studying at that school."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont ****,"If you’re in Canada and leave as a student on maintained status, you’ll lose your ability to study when you return. This means you can’t study until your application is approved."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont ****,"Step 1: Make sure you have what you need
Post-secondary students
Your DLI will send you one of the following, depending on whether you’re a new or current student:"
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont ****,"As of January 22, 2025: Unless you meet an exception , you need to provide a new PAL or TAL if you’re changing schools or levels of study."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav ****,"What happens when your permit expires
You lose your student status in Canada if any of the following applies to you:"
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav ****,"Your study permit expired before you applied for a new one.
You changed the conditions on your study permit such as
your DLI
type of study
location of study
time period of study
You didn’t respect the conditions of your study permit.
Once you lose your status, you can’t study in Canada until we’ve restored your status as a student."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav ****,"How to restore your status as a student
If your permit expires but you keep meeting the requirements of your stay and you respect the conditions of your study permit, you may apply to restore your status as a student."
International Students Resources,*** Source: https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav ****,"apply for a new study permit
apply to restore your temporary resident status in Canada
submit all supporting documents
pay your fees
Use the document checklist and guide for extending your stay as a student. You can stay in Canada while we process your application, but there’s no guarantee that we’ll approve your application."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for international students
Last reviewed: March 12, 2024 
Topics on this page 
Through your school
Post-secondary students
Elementary and high school students
Learning English
Continuing education
Resources available through your school
Many post-secondary institutions have international student centres or student advisory offices. Your school may be able to help if you are experiencing challenges related to:
finding suitable accommodation
financial aid
learning about your ability to work on/off campus
building connections with other students & making friends
BC Settlement and Integration Services (BCSIS) Program
If services are not available through your own school, a local settlement service provider may be able to assist you. To learn more about what services may be available to you, contact your local BCSIS service provider."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for post-secondary students
Education in British Columbia
EducationPlannerBC
Canadian Information Centre for International Credentials
LearnLiveBC
Employment Standards & Workplace Safety
Work as a student
Help your spouse or common-law partner work in Canada
Extending your study permit
Post-graduation work permits (PGWP)
BC Provincial Nominee Program (BC PNP)
IRCC’s Express Entry
An Educational Credential Assessment (ECA) is an independent assessment of your foreign degree, diploma, certificate, or other credential. Visit the IRCC website for ECA requirements and designated agencies."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for elementary and high school students
International students of all ages choose to study in British Columbia for many reasons, including top quality, wide-ranging education opportunities at all levels. For more information about studying in B.C., including homestays, visit the BC Government or the B.C. For High School websites."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,B.C. Early years and preschool programs help children from three to five years old prepare for elementary school.
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,Visit the Daily Life page for more information about early years and Kindergarten to Grade 12 education.
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Resources for learning English
Good English language skills will help you in your school studies, work, and daily activities in B.C. For more information on learning English, visit the Start Your Life section."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/study-in-b-c/resources-for-international-students#School ****,"Continuing education and adult basic education
For more information on continuing education for adults and adult basic education, visit the Start Your Life in B.C. section."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,"Moving to a new country can bring many opportunities, but also many challenges. Once in Canada, you may need help to find a job, make new friends, or learn English."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,"Topics on this page
What are settlement services?
For permanent residents
For temporary residents
For refugees
The “View in other languages” tool at the bottom of the page will show this information in many languages.
What are settlement services?
Settlement services are programs and services that can help newcomers to Canada. Settlement services may be able to help you:
look for a job
make new friends
register for language classes
assist you in accessing government/community services
understand the local culture and customs
understand your rights in Canada
Settlement services are usually free for newcomers to access. The services you receive are confidential."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,Most organizations that offer settlement services have requirements that you must meet in order to access their services. These eligibility requirements may be different depending on the kind of support you need and your current circumstances. The best way to know if you are eligible to receive services is to visit the organization’s website or contact them to learn more about how they can help you or your family members.
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,"Pre-arrival services can help you to:
prepare for your move to Canada
get your education, work experience and credentials recognized in Canada
connect with employers to find a job
connect with free services after you arrive in Canada
Learn more about pre-arrival services from Immigration, Refugees, and Citizenship Canada (IRCC)."
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,Find your local WorkBC Centre and learn about the employment services they offer.
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/start-your-life-in-b-c/settlement-services ****,"Eligible clients include:
Temporary workers with a valid work permit
International post-secondary students (if services are not offered at their educational institution)
Provincial Nominees awaiting a decision on their application for permanent residence
Naturalized Canadian citizens
Displaced Ukrainians and their immediate family members with valid CUAET visas 
Some refugee claimants (More support is available through the BC SAF HAVN program)
The types of services vary by organization, but often include:
One-on-one information and referral
Workshops and support groups
Peer support and mentoring
Find a settlement service agency near you that supports temporary residents and naturalized Canadian citizens."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"About education in British Columbia
British Columbia is one of the world's most popular destinations for international students because of our world-renowned education and transfer system."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"About education in B.C.
B.C.'s educational system is among the most respected in the world."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"B.C. is also home to a world-acclaimed transfer system, which means you can move easily from one qualification level to the next and from one post-secondary institution to another. This gives you the flexibility to choose the study path that best suits your educational goals."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Post-secondary international students can transfer between programs of study and institutions without applying for changes to their study permits. For more information about transferring between institutions in British Columbia, visit the British Columbia Council on Admissions and Transfer (BCCAT) website."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"In B.C., children between the ages of 5 and 18 attend Kindergarten to Grade 12 programs at either an elementary or secondary school. Parents can choose to enrol their child in either a public or independent school that offers these programs - there are approximately 350 independent schools and about 1600 public schools."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Many schools provide support services for students whose first language is not English. There are both short- and long-term program options.
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Post-secondary institutions
B.C. is the first province in Canada to provide students with a globally recognized seal of quality for post-secondary education - the Education Quality Assurance (EQA) designation."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Find out more about Education Quality Assurance.
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Casinoer med dansk licens har et stort udvalg af spil. casino24dk.com online casinoer med dansk licens er populære.
Universities
Teaching and research universities offer undergraduate and graduate degree programs at both the Masters and PhD levels. Some also offer diplomas and certificates in professional fields, as well as continuing education programs."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Find out more about University programs and credit transfers.
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Colleges provide courses and programs in trades, vocational, career technical and academic studies leading to certificates, diplomas, associate degrees and applied degrees. They also offer programs that prepare adult learners for post-secondary studies. Some college programs allow you to transfer into university programs to complete an undergraduate degree."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Find out more about College and Institute programs and credit transfers.
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Degree granting private and non-B.C. public institutions
Private and out-of-province public institutions must be authorized by the government to deliver degree programs. This ensures you have access to a top-notch post-secondary system."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"For a current list of institutions and programs that have received ministerial consent, visit the Degree Authorization website."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Private career and language training
Privately-operated career and language training institutions offer non-degree level programs in a variety of areas of study. In British Columbia, private training institutions require a certificate under the Private Training Act if they provide, or offer to provide, at least one career-related program with 40 hours or more of instructional time, and tuition of at least $4000."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Ensuring institutions meet the requirements and standards for certification, and;
Providing student protection and overseeing the Student Tuition Protection Fund.
PTIB also maintains a Private Training Institution Directory of all certified institutions and the programs they provide, along with formerly certified institutions."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,"Spela på ett casinon med hög utdelning för maximala vinster. Många spelare väljer casino med bäst utdelning för bättre odds.
Distance and online learning
You may also choose to earn your B.C. qualification without leaving home through online distance and supported open learning (this is also called distributed learning). This is a great option if you can't afford to take time out of work for full-time study."
Post-Secondary Students Support,*** Source: https://learnlivebc.ca/learn/about-education-in-british-columbia ****,Search CoursesBC to explore online courses offered by B.C.'s post-secondary schools.
Post-Secondary Students Support,*** Source: https://www.welcomebc.ca/work-in-b-c/finding-work-in-b-c ****,"What you need to work in B.C.
In addition to your Social Insurance Number and work permit (if required), here are some other items that you may need to get a job in B.C.:
A résume
Work references
Education and professional credentials (translated into English if the originals are in another language)
Professional certification from a B.C. regulatory authority
Some items can only be completed once you are in B.C., but many can be prepared before you arrive. The more you have done before you arrive, the more likely you are to get a job in your field."
