question,answer
What is a food bank and how can I find one?,"Many communities in British Columbia have food banks for people who need emergency food. Food banks are not run by the government – people in the community donate the food. Each food bank has its own rules. You should visit the food bank in your community, or their website, to learn more. For more information: Food Banks BC: Find a Food Bank Food Banks BC: Find a Food Bank Muslim Food Bank and Community Services Muslim Food Bank and Community Services"
What is abuse and violence and where can I find help?,"There are many forms of abuse, both physical and emotional. When one person assaults (attacks), hurts, mistreats or threatens another person, it is called abuse. If someone abuses you, it is not your fault. In Canada, all violence and threats of violence are against the law. You can get help to get away from the person who abuses you. The police can arrest someone who assaults or threatens to attack another person. The person could get a fine or go to jail. If you are a Permanent Resident (PR), you will not be deported if you leave an abusive family situation. Your sponsorship cannot be taken away after you become a PR. If you are not yet a PR, Immigration, Refugees and Citizenship Canada will carefully evaluate your special case before making a decision. For more information: VictimLinkBC VictimLinkBC Immigration, Refugees and Citizenship Canada: Help for spouses or partners who are victims of abuse Immigration, Refugees and Citizenship Canada: Help for spouses or partners who are victims of abuse BC Society of Transition Houses: Get Help Now BC Society of Transition Houses: Get Help Now BC Housing: Transition Housing: Women’s Transition Housing and Supports Program BC Housing: Transition Housing: Women’s Transition Housing and Supports Program"
What is a crisis line and how can I find one?,"Moving to a new country is challenging – adjusting can be very difficult. You may feel extremely sad or upset, or may even think about suicide. Throughout British Columbia, there are many crisis lines to help people in emotional crisis, such as depression, suicidal thoughts or family and marriage problems. If you are in a crisis, you should call 1-800-SUICIDE (1-800-784-2433) or call or text 9-8-8. For more information: Crisis Centre Crisis Centre 9-8-8 Suicide Crisis Helpline 9-8-8 Suicide Crisis Helpline Government of British Columbia: Crisis and Information Lines Government of British Columbia: Crisis and Information Lines"
What should I do in an emergency?,"If you have a life-threatening emergency, call the emergency number. In most areas of British Columbia, the emergency number is 9-1-1 for police, fire or ambulance. This call is free, even from a pay phone. You can ask for help in your own language. In some communities, the emergency number is not 9-1-1, but you can find the number in the front pages of the telephone book in your area. A life-threatening emergency includes reporting a fire, saving a life, stopping a crime or any other time when you need police, fire or ambulance assistance immediately. For more information: E-Comm 9-1-1: When to call 9-1-1 E-Comm 9-1-1: When to call 9-1-1 E-Comm: Links to Emergency Services in British Columbia E-Comm: Links to Emergency Services in British Columbia"
What should I expect when calling 9-1-1?,"When you call 9-1-1, you need to be prepared to answer some questions. It is important to listen carefully, speak clearly and remain calm. E-Comm 9-1-1 has a 24-hour interpretation service that can be accessed in less than one minute, with interpretation available in over 200 languages. For more information: E-Comm 9-1-1: Tips and Info E-Comm 9-1-1: Tips and Info E-Comm 9-1-1: Interpretation Services E-Comm 9-1-1: Interpretation Services"
How can I prepare for an emergency?,"It is important to know the hazards in your area, such as earthquakes, flooding or forest fires, and take the time to make a family emergency kit. During an emergency, you and your family could be on your own for an extended period of time. Emergency services may not be able to help you right away, as they help those in most critical need first. Phones, gas, water, sewer and electrical services may also be cut off. The Government of British Columbia has prepared information about various emergency situations, including what to do and how to prepare. For more information: Government of British Columbia: Emergency Management in BC Government of British Columbia: Emergency Management in BC E-Comm: Links to Emergency Services in British Columbia E-Comm: Links to Emergency Services in British Columbia"
What should I do if the power goes out?,"Power outages can happen at any time. If your power goes out, you can call 1 800 BCHYDRO (1 800 224 9376) or *HYDRO (*49376) on your cellphone to report the power outage. BC Hydro also has an online map that shows where all the known outages are, as well as the reason for the outages. They also provide tips about how to stay safe in case of a power outage. For more information: BC Hydro: Outages and Safety BC Hydro: Outages and Safety"
What should I do if I suspect a gas leak?,"If you smell rotten eggs or hear the sound of escaping gas, it could be natural gas. Stop what you’re doing. Do not use your cell phone or landline. Do not smoke, light matches or operate electrical switches, or any other source of ignition. Go outside and leave the door open behind you, as well as any windows that may already be open. Call FortisBC’s 24-hour emergency line at 1-800-663-9911 or 9-1-1. For more information: FortisBC: Gas Leaks and Odour FortisBC: Gas Leaks and Odour"
What is a Permanent Resident (PR)?,"A Permanent Resident (PR) is someone who has acquired PR status by immigrating to Canada, but is not yet a Canadian citizen. Permanent residents are citizens of other countries. Permanent residents have the right to most social benefits that Canadian citizens receive but are not allowed to vote or run for political office. Permanent residents are not allowed to apply to some jobs that need high-level security clearance. For more information: Immigration, Refugees and Citizenship Canada: Understand Permanent Resident Status Immigration, Refugees and Citizenship Canada: Understand Permanent Resident Status"
What is a Permanent Resident (PR) card and how do I apply for one?,"A Permanent Resident (PR) card is the official proof that you are a PR of Canada. You use this card to show that you can enter and stay in Canada when you return from another country. If you are immigrating to Canada and provide a Canadian mailing address, you do not need to apply for a PR card. It will be mailed to you after you get to Canada. If you do not provide your Canadian mailing address when you become a PR, you must send your Canadian address to Immigration, Refugees and Citizenship Canada (IRCC) within 180 days of becoming a PR. For more information: Immigration, Refugees and Citizenship Canada: Get a Permanent Resident Card Immigration, Refugees and Citizenship Canada: Get a Permanent Resident Card Immigration, Refugees and Citizenship Canada: Apply for, renew or replace a PR card Immigration, Refugees and Citizenship Canada: Apply for, renew or replace a PR card"
What do I need to know so that I don’t lose my Permanent Resident (PR) status?,"As a Permanent Resident (PR), you may travel outside of Canada. However, you must meet certain residency obligations to maintain your status. You can lose your PR status if you do not live in Canada for at least two years in a five-year period, are convicted of a serious crime and told to leave Canada, or become a Canadian citizen. Losing your PR status does not happen automatically. Unless you have gone through an official process, you have not lost or given up your PR status, even though you may not be eligible to return to Canada as a PR. For more information: Immigration, Refugees and Citizenship Canada: Understand Permanent Resident Status Immigration, Refugees and Citizenship Canada: Understand Permanent Resident Status"
What should I do if I lose my PR Card?,"In case your PR card has been lost, stolen or destroyed, you should contact Immigration, Refugees and Citizenship Canada (IRCC) immediately to report it. To apply for a new PR card, you will have to fill out an application package and pay an application fee of $50 Canadian dollars. If you do not want to apply for a new card right away, you still need to fill out a web form on IRCC’s website to report your PR card lost, stolen or destroyed. If you are outside Canada when your PR card is lost, you should report it to the closest Immigration, Refugees and Citizenship Canada (IRCC) visa office and apply for a permanent resident travel document in order to return to Canada. For more information: Immigration, Refugees and Citizenship Canada: What should I do if my PR card has been lost, stolen or destroyed? Immigration, Refugees and Citizenship Canada: What should I do if my PR card has been lost, stolen or destroyed?"
How do I apply to legally change my name?,"Some new immigrants to Canada choose an English first name to make it easier for others to pronounce and remember. It is important to know that you are not obligated to choose an English name. Any Canadian citizen or permanent resident can change his or her name legally. Before beginning the application process, it’s important to understand the steps required in a legal name change, the cost, and the effect it will have on your life. To change your legal name, you can apply online, by mail, or visit in-person at the nearest Services BC location. After approval, you will receive a certificate of legal name change. It is your responsibility to contact each and every government department, organization, school and employer to change your legal name on your ID and legal documents, e.g. driver’s licence, citizenship certificate, passport, BC services card, RRSP, RESP, student ID, bank and credit cards, etc. For more information: Government of British Columbia: Legal Change of Name Application Government of British Columbia: Legal Change of Name Application"
How does Canada’s refugee system work?,"Canada offers refugee protection to people in Canada who face persecution in their home country or the country where they normally live, or who would face persecution if they returned to that country. The Refugee and Humanitarian Resettlement Program is for people seeking protection from outside Canada. The In-Canada Asylum Program is for people making a refugee protection claim from within Canada. The Immigration and Refugee Board (IRB) makes decisions about refugee claims within Canada. Refugees often do not have the resources to easily establish themselves, so the Government of Canada provides support for a broad range of settlement services to support the integration of refugees. For more information: Government of Canada: Immigration, Refugees and Citizenship Canada: How Canada’s Refugee System Works Government of Canada: Immigration, Refugees and Citizenship Canada: How Canada’s Refugee System Works BC Refugee Hub: Refugees – The Big Picture BC Refugee Hub: Refugees – The Big Picture"
What assistance is available for refugees in BC?,"Some resettled refugees receive support through the Resettlement Assistance Program (RAP), including assistance at the port of entry, temporary accommodation and help to find permanent accommodation, money to buy basic household items and clothing, and information and assistance to settle in Canada. They may also get a loan through the Immigration Loans Program to pay for the costs of medical examinations abroad, travel documents, transportation to Canada, housing rental, telephone deposits and work tools. However, loans must be repaid and interest may be charged. Some resettled refugees and refugee claimants are eligible for services under the Interim Federal Health (IFH) Program, which pays for emergency medical services after arrival in Canada, until they are covered by a provincial health plan. Settlement agencies in British Columbia also provide services to refugees to help them adjust to their new life. For more information: Government of Canada: Immigration, Refugees and Citizenship Canada: Find Help to Adjust as a Refugee in Canada Government of Canada: Immigration, Refugees and Citizenship Canada: Find Help to Adjust a BC Refugee Hub BC Refugee Hub Kinbrace: Agencies Assisting Refugee Claimants in BC Kinbrace: Agencies Assisting Refugee Claimants in BC BC CHARMS Refugee Claimant Navigation Website BC CHARMS Refugee Claimant Navigation Website"
How can I immigrate to BC?,"Immigration, Refugees and Citizenship Canada (IRCC) establishes immigration policy and makes decisions about who can enter Canada. There are several programs that can help you and your family come to British Columbia. You can apply for permanent residence under many different categories including: Express Entry, Family Sponsorship, Provincial Nominees, Quebec-selected Skilled Workers, Economic Mobility Pathways Pilot, Caregivers, Agri-Food Pilot, Refugees, Self-employed, etc. There are also special immigration programs for people coming from specific countries such as the Family-based Humanitarian Program Columbians, Haitians and Venezuelans. You can apply for temporary residence under the following categories: Foreign Students, Temporary Foreign Workers, and Visitors. For more information: WelcomeBC: Start Your Life in BC WelcomeBC: Start Your Life in BC Government of Canada: Immigration, Refugees and Citizenship Canada: Immigrate to Canada Government of Canada: Immigration, Refugees and Citizenship Canada: Immigrate to Canada"
How long will it take to process my immigration application?,"There is no standard time for processing immigration applications. It depends on the type of application, where the application was sent, and how many applications are being processed. You can check application processing times on the Immigration, Refugees and Citizenship Canada (IRCC)’s online processing times tool. For more information: Immigration, Refugees and Citizenship Canada: How long will it take to process my application? Immigration, Refugees and Citizenship Canada: How long will it take to process my application? Immigration, Refugees and Citizenship Canada: How can I check the status of my application? Immigration, Refugees and Citizenship Canada: How can I check the status of my application?"
Do I need to hire someone to help with my immigration application?,"You do not need to hire anyone to help you with your immigration application. The Government of Canada treats everyone equally, whether you use a representative or not. All the forms and information needed to apply to immigrate to Canada are available for free on the Immigration, Refugees and Citizenship Canada (IRCC)’s website. If you decide to work with someone, IRCC has rules about who can help you. Only a paid representative can charge a fee or receive payment to represent or advise you on a Canada immigration application. Paid representatives include lawyers and paralegals (who are members in good standing of a Canadian provincial or territorial law society) and immigration consultants (who are members in good standing of the Immigration Consultants of Canada Regulatory Council). Unpaid representatives can act in the same way as paid representatives, but they cannot be paid for the service. Unpaid representatives include family members, friends, non-profit groups and religious groups. For more information: Government of Canada: Immigration, Refugees and Citizenship Canada: Do I need a Representative to Help Me Apply? Government of Canada: Immigration, Refugees and Citizenship Canada: Do I need a Representative to Help Me Apply? Government of Canada: Immigration, Refugees and Citizenship Canada: How to choose an immigration or citizenship representative Government of Canada: Immigration, Refugees and Citizenship Canada: How to choose an immigration or citizenship representative Government of Canada: Immigration, Refugees and Citizenship Canada: Immigration and Citizenship Fraud and Scams Government of Canada: Immigration, Refugees and Citizenship Canada: Immigration and Citizenship Fraud and Scams"
What do I need to prepare before coming to BC?,"While you are waiting for your visa or permit, there are some things that you can do to prepare for your new life in British Columbia. You can learn about the region and community where you plan to move. You can find a place to stay when you first arrive. You can gather your documents, such as professional certificates and school records, and get them translated into an official language (English or French) by a certified translator. You can also start to learn English or French. Immigration, Refugees and Citizenship Canada (IRCC) offers free in-person and online pre-arrival services to immigrants abroad to prepare them for life in Canada. For more information: Immigration, Refugees and Citizenship Canada: Get help before arriving in Canada – Pre-arrival services Immigration, Refugees and Citizenship Canada: Get help before arriving in Canada – Pre-arrival services Immigration, Refugees and Citizenship Canada: Prepare for Life in Canada Immigration, Refugees and Citizenship Canada: Prepare for Life in Canada Immigration, Refugees and Citizenship Canada: Crossing the border: documents you need Immigration, Refugees and Citizenship Canada: Crossing the border: documents you need WelcomeBC: Before You Move to BC WelcomeBC: Before You Move to BC"
What items can I bring with me when I move to BC?,"You can bring your personal and household goods with you, or you can send them later, without paying duty. To qualify, you must have owned, possessed and used the goods before coming to Canada. You will have to pay duty on some items, i.e. farm equipment, vehicles you plan to use for business, items that you have bought on your way to Canada, etc. If you are not sure whether you have to pay duty on some items, bring sales receipts and/or registration documents with you. You will need to fill out a BSF186A- Personal Effects Accounting Document, which asks for a list of all the goods and their value. When you arrive in Canada, you will need to give the completed document to the customs officer, even if you are not bringing any goods at that time. You may also bring money, but if you bring more than C$10,000 (or the equivalent in another currency), you will need to declare it and fill out a Cross-Border Currency or Monetary Instruments Report. If you do not declare the money, you may need to pay a fine or face penalties. For more information: Immigration, Refugees and Citizenship Canada: Bringing Goods to Canada Immigration, Refugees and Citizenship Canada: Bringing Goods to Canada Community Airport Newcomers Network: What You Can Bring to Canada Community Airport Newcomers Network: What You Can Bring to Canada"
What is the weather like in BC?,"British Columbia is a large province, and the climate is very different from one region to another. On the South Coast (e.g. Vancouver, Victoria), the climate is mild year-round. In the Interior and Central Regions (e.g. Kelowna, Kamloops), the summers are hot and the winters are cold and snowy. In the North (e.g. Prince George, Fort St John), the winters are long and cold with lots of snow, and the summers are short. On the North Coast (e.g. Prince Rupert, Kitimat), there is a lot of rain in the spring, summer and fall, and the winters are cold. For more information: WelcomeBC: The Climate of British Columbia WelcomeBC: The Climate of British Columbia The Weather Network: Weather Forecasts and Reports The Weather Network: Weather Forecasts and Reports"
What help is available when I arrive in BC?,"You should contact your local settlement agency as soon as possible. They can help you and your family set up your new life in British Columbia. Many settlement agencies have staff members who can speak language(s) other than English. If you arrive at the Vancouver International Airport (YVR), you should find the Community Airport Newcomers Network (CANN). They are located in the immigration and customs area. They can help you with landing procedures, information and orientation on settlement in Canada, and links to settlement agencies in your new community. For more information: Community Airport Newcomers Network: Arriving in Vancouver Community Airport Newcomers Network: Arriving in Vancouver NewToBC: Immigrant Programs and Services NewToBC: Immigrant Programs and Services Government of Canada: Immigration, Refugees and Citizenship Canada: Map of destination communities and service provider organizations Government of Canada: Immigration, Refugees and Citizenship Canada: Map of destination communities and service provider organizations"
Do I need a Permanent Resident (PR) card to travel back to Canada?,"If you are a Permanent Resident (PR), you will need to show that you and your family, including children, have valid PR status when you return to Canada. If you are traveling by commercial carrier, such as a train, plane, boat or bus, you need to have a valid PR card or a valid PR travel document (PRTD) to re-enter Canada. If you are traveling in a private vehicle, such as your own car, you may be able to show other immigration documents. Permanent resident status does not expire. If you still have a PR status, but don’t have a valid PR card, you will have to apply for a PR travel document or a visa to return to Canada. For more information: Government of Canada: Immigration, Refugees and Citizenship Canada: Carrying Identification and Travelling Outside of Canada Government of Canada: Immigration, Refugees and Citizenship Canada: Carrying Identification and Travelling Outside of Canada Government of Canada: Immigration, Refugees and Citizenship Canada: Urgent Processing of a PR Card Government of Canada: Immigration, Refugees and Citizenship Canada: Urgent Processing of a PR Card Government of Canada: Immigration, Refugees and Citizenship Canada: Permanent Resident Travel Document: How to apply Government of Canada: Immigration, Refugees and Citizenship Canada: Permanent Resident Travel Document: How to apply"
Does the Medical Services Plan of BC (MSP) cover me when I am outside of BC?,"The Medical Services Plan of British Columbia (MSP) will help pay for unexpected medical services that you receive anywhere in the world. The services must be medically required, provided by a licensed physician, and normally insured by MSP. If you are in another province of Canada, except Quebec, MSP will pay for unexpected medical services. If you are in Quebec or outside of Canada, you will need to pay for the services and apply for reimbursement. Items that are not covered include services by other practitioners (e.g. chiropractor, physical therapist), prescription drugs, ambulances, and transportation of injured people back to British Columbia. For this reason, you should consider getting additional private health insurance coverage. For more information: Government of BC: Medical Benefits Outside of BC Government of BC: Medical Benefits Outside of BC"
What family members can I sponsor to immigrate to Canada?,"The Government of Canada allows Canadian citizens and Permanent Residents (PRs) to sponsor the following family members: your spouse (person you are legally married to), your partner (person you have a “marriage-like relationship” with), your parents, your grandparents, your dependent children and adopted children (under the age of 19 years and not married or living with a partner) and other relatives. Immigrants who arrive under the family class must receive care and support from their sponsors. For more information: Government of Canada: Immigration, Refugees and Citizenship Canada: Sponsor your Family Members Government of Canada: Immigration, Refugees and Citizenship Canada: Sponsor your Family Members"
What is the Parent and Grandparent Super Visa?,"The Parent and Grandparent Super Visa is a temporary resident permit that allows parents and grandparents to stay in Canada for up to two years per visit. It is valid for up to 10 years. For more information: Government of Canada: Immigration, Refugees and Citizenship Canada: Super Visa for Parents and Grandparents – Who can apply Government of Canada: Immigration, Refugees and Citizenship Canada: Super Visa for Parents and Grandparents – Who can apply Government of Canada: Immigration, Refugees and Citizenship Canada: Super Visa for Parents and Grandparents – How to apply Government of Canada: Immigration, Refugees and Citizenship Canada: Super Visa for Parents and Grandparents – How to apply"
"If I separate from my husband or wife, how will it affect my immigration status?","If your spouse sponsored you and you have separated, your right to remain in Canada depends on whether your Permanent Resident (PR) status is conditional or not. If your PR status is not conditional, you cannot be asked to leave Canada. If your PR status is conditional, you could lose your PR status if you separate from your spouse. There are exceptions in case of abuse or neglect. You don’t have to stay in an abusive relationship to keep your status in Canada. If you are a refugee claimant and your claim is based on your spouse’s situation, you might be able to separate your claim. If your sponsorship breaks down and you do not have PR status, contact a lawyer for advice as soon as possible. For more information: Immigration, Refugees and Citizenship Canada: Help for spouses or partners who are victims of abuse Immigration, Refugees and Citizenship Canada: Help for spouses or partners who are victims of abuse Settlement.org: How does divorce affect my immigration status? Settlement.org: How does divorce affect my immigration status? Clicklaw: My Husband Sponsored Me and We Have Now Separated Clicklaw: My Husband Sponsored Me and We Have Now Separated"
How can I become a Canadian citizen?,"To apply for Canadian citizenship, you must meet certain eligibility criteria and complete an application. Eligibility criteria include: have PR status in Canada, have lived in Canada as a PR for at least 1095 days during the five years right before the date you sign your application, and meet your personal income tax filing obligations if required under the Income Tax Act. If you are between 18 and 54 years old, you are required to provide proof that you have a Canadian Language Benchmark Level 4 speaking and listening ability in English or French and you must pass a citizenship test to demonstrate adequate knowledge of Canada and the responsibilities and privileges of citizenship. A person’s citizenship may be revoked if the person obtains the citizenship by false representation, fraud or knowingly concealing material circumstances. For more information: Government of Canada: Immigration, Refugees and Citizenship Canada: Apply for Citizenship: Who can apply Government of Canada: Immigration, Refugees and Citizenship Canada: Apply for Citizenship: Who can apply Government of Canada: Immigration, Refugees and Citizenship Canada: Apply for Canadian Citizenship Government of Canada: Immigration, Refugees and Citizenship Canada: Apply for Canadian Citizenship"
