Question,Answer
"Can I work in any type of job if I am eligible to work off campus?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=502&top=15"")","Yes. You may work for any employer in Canada who is not on the ineligible employer list, as long as you continue to comply with the requirements of the off-campus work authorization. You must also get an immigration medical exam if you plan to work in certain occupations(""https://www.canada.ca/en/immigration-refugees-citizenship/services/application/medical-police/medical-exams/requirements-temporary-residents.html"")."
"Can I work as many hours as I want if I’m eligible to work off campus?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=503&top=15"")","No. If you're eligible to work off campus(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html#who-can""), you can work up to 24 hours per week while classes are in session. During scheduled breaks, such as summer and winter holidays, or a reading week, you're allowed to work unlimited hours.
You can start working in Canada only once you've started your study program. You can't work before your studies begin.
What is considered a scheduled break
A scheduled break
must be scheduled by your school, and
must last at least 7 consecutive days
For example, if an academic break is for a week (including the weekend), you're allowed to work unlimited hours for those 7 consecutive days.
A statutory holiday on its own, such as Labour Day, is not a scheduled break.
A statutory holiday that creates a long weekend, for example, is also not a scheduled break by itself.
If a statutory holiday falls within an existing scheduled break (with 7 consecutive days), the rules for working unlimited hours would apply.
Scheduled breaks longer than 150 days
If your school has back-to-back scheduled breaks, creating a break period longer than 150 consecutive days, you can only work off campus during the first 150 consecutive days.
You cannot work for the entire break if it's longer than 150 consecutive days.
Maximum days per year for unlimited off campus work
Taking into account all regularly scheduled breaks, you can only work unlimited hours off campus for a total of 180 days during each calendar year."
"What is a post-graduation work permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=507&top=15"")","The post-graduation work permit allows students who have graduated from a participating Canadian post-secondary institution(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility.html"") to gain valuable Canadian work experience.
Note: Work obtained through the Post-Graduation Work Permit Program may help support your application to become a permanent resident of Canada."
"How do I apply for a post-graduation work permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=508&top=15"")","How you can apply for a post-graduation work permit (PGWP) depends on where you’re applying from. Most people must apply online for their PGWP. Find out how you can apply for your PGWP(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/apply.html"").
New rules about where to apply for a PGWP
As of June 21,2024, you can no longer apply for a PGWP at a port of entry (airport, land or marine border) when entering Canada.
Make sure you’re eligible for a PGWP(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility.html#instructions"") before you apply. You have 180 days after your school issues your final marks to apply for a PGWP.
When you apply, make sure you pay the Open work permit holder fee and the standard work permit fee.
If your study permit has expired
You must
submit your PGWP application within 90 days of losing your status and pay both fees (open work permit fee and standard work permit fee)
Restoring your status as a student has a fee of $350. Due to system limitations, applicants must pay the fees to restore their status as a student online(""https://eservices.cic.gc.ca/epay/order.do?category=17"") and attach a copy of the receipt to their PGWP online application. You do not need to make a separate application to restore your status as a student.
keep meeting the requirements for your stay
meet all the remaining conditions listed on your permit
If you need to extend or change the conditions on your PGWP
You must apply on paper if you’re extending or changing the conditions on your PGWP. You can only extend your PGWP if your passport expired earlier than your PGWP validity should have been.
This would be indicated in a remark on your initial PGWP.
You may need to change the conditions on your PGWP if you need to provide an additional document, like a medical exam, after you already applied."
"How long is a post-graduation work permit valid?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=509&top=15"")","A post-graduation work permit (PGWP) may be valid anywhere between 8 months and up to 3 years. Unless you’ve graduated from a master’s degree program, the length of your permit will depend on the length of the study program you completed in Canada. Find out more about how long a PGWP can be valid(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/about.html#pgwp_validity"")."
"How much does a post-graduation work permit cost?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=510&top=15"")","The fee for a post-graduation work permit is CDN$155; however, you must also pay the CDN$100.00 “Open Work Permit Holder” fee. Find out more about the required fees(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/apply.html"")."
"Can I apply for a job before I get my post-graduation work permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=511&top=15"")","Yes, but only if you:
were a full-time student at a designated learning institution (DLI) in a post-secondary academic, vocational or professional training program,
already completed your program of study, and
didn't exceed the number of hours you could work on and off-campus.
If we refuse your post-graduation work permit, you must stop working immediately"
"Can I work anywhere, in any type of job, under the Post-Graduation Work Permit Program?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=512&top=15"")","The post-graduation work permit is an open work permit. This means that you can work in any occupation anywhere in Canada, and change employers any time you wish.
Note: You may not work for an employer on the ineligible employers list."
"How do I qualify for a post-graduation work permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=513&top=15"")","To qualify for a post-graduation work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility.html""), you must have graduated from a public institution or a recognized degree program at a private institution. These institutions may include a university, college or a Collège d'enseignement général et professionnel (an educational institution in Quebec that offers pre-university classes and technical career programs)."
"Can I apply for a post-graduation work permit before I get my diploma?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=755&top=15"")","You don’t have to wait until you physically receive your diploma or attend your graduation ceremony to apply for a post-graduation work permit (PGWP).
All you need to apply for a PGWP is
an official letter from your school that confirms you’ve completed your study program or
an official transcript or a copy of your transcript from your school’s website
You have 180 days after your school issues your final marks to apply for a post-graduation work permit. To be eligible for a PGWP, your study permit must have been valid at some point during these 180 days.
When your study permit expires
Your study permit will expire on the date marked on the permit or 90 days after the day you complete your studies, whichever comes first.
If your study permit expires, you must either:
restore your status as a student(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/apply.html#expires"") when you apply for a PGWP, or
leave Canada and apply for a PGWP from outside Canada"
"Can I work while I am waiting to receive my post-graduation work permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1181&top=15"")","You can work full-time while waiting for a decision on your post-graduation work permit (PGWP)(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation.html"") application if, at the time you submitted your application, all of the following applied to your situation:
You had a valid study permit.
You had completed your program of study.
You were eligible to work off campus(""https://ircc.canada.ca/english/study/study-assess.asp"") without a permit.
You did not work off campus more than 24 hours a week during academic sessions.
If you received the WP-EXT for PGWP (IMM 0127 E) letter
You’re authorized to work until a decision is made on your work permit application even if the 180-day validity date has expired. If you need proof of authorization to continue working, you can ask for it by using our web form(""https://ircc.canada.ca/english/contacts/web-form.asp"").
Find out more about work authorization after submitting a post-graduation work permit application(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/after-you-apply.html"")."
"I’m waiting for my post-graduation work permit. Can I travel outside Canada?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1309&top=15"")","You can leave Canada and return as long as your visa or electronic travel authorization (eTA)(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1052&top=16"") is still valid. Your permit (study or work) is not a visa and doesn’t allow you to travel back to Canada.
If your visa or eTA is expired, you have to get a new one before you return to Canada.
When you return to Canada:
You may enter as a student if your study permit is still valid.
If we approve your post-graduation work permit (PGWP) while you’re away, you may enter as a worker.
If your study permit was valid when you applied and we’re still processing your PGWP, you may enter as a visitor and work without a work permit until we make a decision on your application.
If you applied to extend your PGWP to get the full duration of your PGWP because your passport expired and you left Canada while on maintained status, you can enter Canada as a visitor. However, you can’t work without a work permit until we make a decision on your application.
As of June 21, 2024, you can’t apply for a PGWP at the border. You must submit your application for a PGWP before coming to Canada, or after you’ve entered Canada as a visitor with your visa or eTA, if you’re eligible(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/eligibility.html#inside"").
A border officer will have some questions for you when you arrive back in Canada. The officer may ask you for proof that you applied for a PGWP, such as a copy of your application or the fee payment receipt.
If the officer believes there is reason to refuse your re-entry, you won’t be able to enter Canada."
"How can I show a potential employer I’m allowed to work while I wait for my post-graduation work permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1507&top=15"")","You can show a potential employer you’re allowed to work by giving them a copy of all of the following documents:
proof that you completed your program(s) of study, such as
the official letter from your school that confirms you’ve completed your study program or
an official transcript or a copy of your transcript from your school’s website
a copy of your study permit
To be allowed to work right away, your permit should say: “May accept employment on or off campus if meeting eligibility criteria per paragraph R186(f), (v) or (w); must cease working if no longer meeting these criteria”
a copy of the acknowledgement of receipt from your post-graduation work permit (PGWP) application, if you applied online
To be allowed to work right away, the acknowledgement of receipt must have been received before your study permit expired
a copy of your WP-EXT for PGWP (IMM 0127 E) letter (if you received one) to prove you’re authorized to keep working, even if the 180-day validity period has expired
If you need proof of authorization to continue working, you can ask for it by using our web form(""https://ircc.canada.ca/english/contacts/web-form.asp"").
You can use these documents to work only until a decision is made on your application.
If your application for a PGWP is rejected or refused, you need to stop working as soon as we notify you.
If you don’t, any future work or study permits may not be approved, and you may be asked to leave the country.
Check current processing times for PGWPs(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/about.html"")."
