Question,Answer,Source
What is Fair PharmaCare?,"Fair PharmaCare helps pay for certain prescription drugs and medical supplies, with financial assistance based on income.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I apply for Fair PharmaCare?,You need details from your Canada Revenue Agency notice of assessment or reassessment from two years ago.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What are Supplementary Benefits?,"Supplementary Benefits provide partial payment for services like acupuncture and massage therapy for those with an adjusted net income of $42,000 or less.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
"Is there a fee to register for MSP, Fair PharmaCare, or Supplementary Benefits?","No, registration for MSP, Fair PharmaCare, and Supplementary Benefits is free for B.C. residents.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What identification is needed to apply for MSP?,"You must upload ID showing full legal name and legal status in Canada, such as a study permit, work permit, or visitor permit.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What if my legal name is different from my ID?,"You must submit a marriage certificate, divorce decree, or name change certificate showing your full legal name.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is the waiting period for MSP coverage?,New residents must wait until the balance of the month they arrive plus two months before MSP coverage begins.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What should I do during the MSP waiting period?,You should get private health insurance while waiting for MSP coverage to start.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I apply for MSP?,"You can apply online, in person, or by submitting a paper application form.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I confirm my MSP enrolment?,You can request an MSP Account Confirmation letter online.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What happens after I apply for MSP and Fair PharmaCare or Supplementary Benefits?,"MSP enrolment is processed first, and then separate letters are sent about Fair PharmaCare and Supplementary Benefits.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What if I already have MSP and need to renew my BC Services Card?,You only need to renew your BC Services Card by following the instructions in your renewal letter.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is the BC Services Card?,It is a personal identification card that provides access to health care and contains your Personal Health Number (PHN).,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I get a BC Services Card?,Most adults must visit an ICBC driver licensing office with primary and secondary ID to have their photo taken.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is a Personal Health Number (PHN)?,"A PHN is a unique lifetime identifier for health care in B.C., printed on your BC Services Card.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Can I use MSP coverage outside of B.C.?,Limited MSP coverage may be available while temporarily outside B.C. More details are available on the MSP website.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is extra billing under MSP?,Extra billing is when a provider charges a patient for an MSP-covered benefit. This is not allowed unless permitted by law.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How do I update my MSP account information?,"You can update your MSP account online, including changes to your address, dependents, or residency status.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What is the BC Services Card used for?,The BC Services Card confirms your identity and personal information and allows you to obtain insured medical and health care services if you are a resident of B.C. and enrolled in MSP. It is also used for PharmaCare prescription drug benefits.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
When can I start using my BC Services Card?,"You can use your BC Services Card as of the date your MSP coverage begins. For those under 19 and some adults, the start date is indicated on the paper attached to the card when it is delivered.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
How can I replace my BC Services Card if it is lost?,Report your missing card by calling the ICBC driver licensing centre as soon as possible at (250) 978-8300 in Victoria or 1-800-950-1498 elsewhere in B.C. You can also visit an ICBC driver licensing office near you to obtain a replacement.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
"What should I do if I need to change my name, birth date, or gender on my BC Services Card?",Call Health Insurance BC toll-free before requesting a replacement.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Is there a fee to replace a BC Services Card?,"No, there is no fee to obtain or replace a BC Services Card. However, if you combine it with your driver’s licence, regular driver’s licence renewal fees still apply.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
What happened to the CareCard and Gold CareCard?,The BC Services Card has replaced both the CareCard and the Gold CareCard.,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
Where can I find more information about the BC Services Card?,"Visit gov.bc.ca/bcservicescard for details on replacing your card, changing personal information, and privacy and security features.",https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp 
"What change took place on September 1, 2019?","As the Province eliminated MSP premiums for British Columbians, an updated payment method was introduced for international students. Effective September 1, 2019, all international K-12 and post-secondary students began paying a monthly health-care coverage fee of $37.50. Post-secondary students who previously paid $37.50 per month in MSP premiums had their contributions restored to $75 per month. On January 1, 2020, with the elimination of MSP premiums, the health-care coverage fee for all international students became $75 per month.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
Who does the health fee apply to?,"The health fee applies to all international students enrolled in B.C.’s Medical Services Plan with a study permit valid for six months or longer, including K-12 and post-secondary international students.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
When do international students have to apply for the health fee?,"International students with a study permit valid for six months or longer must apply for MSP as soon as they arrive in British Columbia. After applying, they will be enrolled and invoiced for the health fee. There is a wait period before health-care coverage begins, consisting of the balance of the month residency is established plus two months. International students should carry private insurance until the wait period ends and provincial coverage begins.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
How do international students apply for the health fee?,"International students enrolled in MSP with a study permit valid for six months or longer will be invoiced for the health fee. Information on how to apply for MSP can be found online. For multilingual support, students can contact or visit a Service BC Contact Centre.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
Is enrolment in the Medical Services Plan mandatory?,"Yes. Enrolment in MSP is mandatory for all B.C. residents. Only adult international students who formally opt out of provincial health coverage through MSP are exempt from paying the health fee. Minors have never been able to opt out. The responsibility to enrol in MSP or formally opt out rests with the individual, and opting out should not be done without understanding the consequences.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
What amount is payable for the health fee?,"The health fee is $37.50 per month per student from September 1, 2019, to December 31, 2019, and $75.00 per month per student from January 1, 2020, onward. From September 1, 2019, to December 31, 2019, this amount was payable in addition to any applicable MSP premium obligation for adult international students. As of January 1, 2020, MSP premiums were eliminated, but the health fee for international students remained at $75 per month for both minors and adults.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If I already have provincial health coverage, do I need to re-enrol?","No. If you are already enrolled in MSP, no action is required. You will receive an invoice for the health fee in November 2019, retroactive from September 1, 2019.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
How will the health fee be collected?,"If the health fee is payable, a monthly invoice will be issued by Revenue Services of BC. The first invoices will be sent in November 2019, with the health fee coming into effect on September 1, 2019. The invoices will be sent to the address on file with the Medical Services Plan.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
Is there any financial assistance for the health fee?,"All international students are required to pay the health fee regardless of income unless they have formally opted out of provincial health coverage. Only adults can opt out of MSP, and if they do, they must secure private health-care insurance, or they will be liable for all healthcare costs in B.C.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If an international student fails to pay the fee, will they be able to access health-care services?","Emergency healthcare services will not be denied, but private physicians and clinics may deny services if payment has not been pre-approved. If a student does not have provincial health coverage or private insurance, they will be liable for the costs of health-care services received.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
What date will the health fee start for international students newly arriving in B.C.?,"The health fee will start on the first day of the month when MSP coverage begins. Once MSP premiums are eliminated on January 1, 2020, international students will continue to receive monthly invoices for the health fee. For questions about the start date of MSP coverage, contact Health Insurance BC.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If an international student leaves B.C. permanently, when will the health fee end?","The health fee ends when MSP coverage ends. If moving within Canada, coverage is provided for the balance of the month the student leaves B.C., plus two consecutive months. If moving outside Canada, coverage is provided for the balance of the month the student leaves the province. Any outstanding amounts will remain payable.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If an international student leaves B.C. temporarily, do they need to continue paying the health fee?","Yes, MSP coverage cannot be suspended if an international student leaves the province temporarily unless they no longer qualify for MSP coverage.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If a post-secondary international student has a dependent who is not a student, does the adult dependent also pay the health fee?","No, the health fee only applies to international students enrolled in MSP with a valid study permit. Family members with a work permit but not a study permit are not charged the fee, but those with both a work permit and a study permit will be charged the health fee.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
How is the new health fee different from the current coverage under B.C.'s Medical Services Plan (MSP)?,The health fee ensures international students continue to contribute to and benefit from B.C. health-care coverage as MSP premiums are eliminated. B.C. Medical Services Plan coverage is not changing.,https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
What role do educational institutions have in the implementation of the new health fee for international students?,"Educational institutions do not need to collect the health fee for the Government of British Columbia. If a school wants to pay the fee on behalf of students, they must be set up as an MSP group plan administrator. Group invoices are sent monthly by Revenue Services of British Columbia to the administrator or to the individual at the address on file with MSP.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If an international student completes their studies before the end of their study permit, how do they update their information with MSP?","The student can provide proof to Health Insurance BC that their study permit has ended, which can be an official letter from Immigration, Refugees and Citizenship Canada, a stamp in the passport, or a letter from their school with the date they completed or withdrew from studies. If the student is issued a new immigration document, a copy must be provided to Health Insurance BC; otherwise, MSP coverage will be cancelled.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If my child is studying in B.C. with a visitor’s permit, will they be charged the health fee?",Only individuals enrolled in MSP with a study permit will be charged the health fee. Individuals on a visitor’s permit are generally not eligible for MSP enrollment.,https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
"If an individual arrives in Canada under a CUAET study permit, do they have to pay the health fee?","Individuals with a CUAET study permit enrolled in MSP are not required to pay the health fee for the period of March 1, 2022, onward. Subsequent study permits without CUAET notations are subject to the health fee. If billed for the health fee during the CUAET period, the Ministry of Finance will contact the individual for a refund.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
Why am I receiving a retroactive health fee invoice for $75.00 for MSP coverage between June 2020 and April 2021?,"The health fee is charged for each month a student is eligible for MSP coverage. Due to an error, you were not invoiced for your final month of coverage. For questions about MSP coverage, contact HIBC. For payment inquiries, contact Revenue Services of BC. If your school paid the fee on your behalf during this period, submit the invoice to your school.",https://www2.gov.bc.ca/assets/gov/health/health-drug-coverage/medical-services-plan/bc-residents/public_qa_health-fee-international-students.pdf 
